Job Title,Company,Location,Minimum Salary (Rupees),Maximum Salary (Rupees),Date Posted
Content Creator,Contra,World Wide,70000,80000,2025-04-29 16:57:17
Social Media Video Editor,Contra,World Wide,70000,80000,2025-04-29 16:55:28
Itinerary Creator Turn Your Travels Into ome,Worldee,World Wide,10000,10000,2025-04-29 14:44:28
Freight Broker,Givens Transportation Solutions,World Wide,10000,81250,2025-04-29 13:47:19
Research Scientist Statistical Genetics,Deep Genomics,North America,65000,97500,2025-04-29 11:00:01
QA Automation Engineer,Kodify Media Group,World Wide,60000,70000,2025-04-29 10:36:20
Member of Product Atlas Settlement,Anchorage Digital,United States,60000,85000,2025-04-29 10:00:04
Senior Software Engineer Full Stack,Cyngn,"Menlo Park, CA",65000,97500,2025-04-28 18:00:03
Sales Operations,Anchorage Digital,United States,55000,80000,2025-04-28 10:00:03
Product Engineer Frontend,Quash,World Wide,67500,120000,2025-04-28 03:00:16
Head of Operations Japan,Xsolla,Tokyo,60000,81250,2025-04-27 00:00:10
Data Analyst,KPA,Remote,70000,115000,2025-04-26 16:00:02
React + Node Developer Web Applications,Oowlish Technology,World Wide,60000,82500,2025-04-26 00:00:05
Photo Editor,PlayOn,"Alpharetta, GA",35000,75000,2025-04-25 22:00:02
DevOps Engineer Staking,Crypto.com,World Wide,60000,82500,2025-04-25 13:00:01
Business Operations Administrator,Anagram,Anywhere,30000,70000,2025-04-25 12:00:04
Project Coordinator,Lead Bank,Remote,70000,122500,2025-04-24 19:00:12
Associate Program Manager,Lead Bank,Remote,70000,122500,2025-04-24 19:00:02
Venture Capital Social Media Manager,VC Lab,Palo Alto,60000,81250,2025-04-24 10:00:03
Manager Maintenance,Commonwealth Fusion Systems,"Devens, MA",95000,122500,2025-04-24 08:01:19
Implementation Specialist,SpryPoint,USA,67500,100000,2025-04-24 08:00:31
Senior Full Stack Developer,Zammad,World Wide,40000,80000,2025-04-24 07:52:28
Senior Software Engineer KSPM,Cast AI,World Wide,70000,120000,2025-04-23 18:15:05
Software Engineer III,Jack Henry,World Wide,55000,100000,2025-04-23 18:15:04
Software Engineer Infrastructure,Gauntlet,New York City / San Francisco / Los Angeles / Remote,60000,80000,2025-04-23 14:00:28
Software Engineer Data,Gauntlet,New York City / San Francisco / Los Angeles / Remote,70000,120000,2025-04-23 10:00:17
Software Engineer III Frontend,Shippo,United States,75000,120000,2025-04-23 08:01:41
